datetime,co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed
2025-05-15 02:30:00+00:00,0.96,2.505,13.225000000000001,,18.07,167.10500000000002,66.42,43.275,24.195,35.730000000000004,,
2025-05-15 02:45:00+00:00,0.92,2.5,13.215,,19.52,168.135,66.35,42.43000000000001,20.95,36.155,,
2025-05-15 03:00:00+00:00,0.905,2.49,13.24,,21.605,168.135,66.35,41.144999999999996,16.675,36.599999999999994,,
2025-05-15 03:30:00+00:00,0.8400000000000001,2.4749999999999996,13.059999999999999,,20.985,121.14999999999999,49.4,38.325,23.05,38.14,,
2025-05-15 03:45:00+00:00,0.8200000000000001,2.425,13.205,,22.365,118.42999999999999,46.055,37.44,20.375,39.03,,
2025-05-15 04:00:00+00:00,0.815,2.535,13.23,,24.605,118.42999999999999,46.055,35.59,16.29,39.685,,
2025-05-15 04:15:00+00:00,0.8433333333333333,11.036666666666667,29.123333333333335,,40.556666666666665,104.62,47.70333333333334,32.75333333333334,21.779999999999998,39.86666666666667,,
2025-05-15 04:30:00+00:00,0.8166666666666668,11.38,29.293333333333333,,43.36666666666667,100.76666666666667,45.76,31.983333333333334,24.66,40.21,,
2025-05-15 04:45:00+00:00,0.8066666666666666,11.660000000000002,29.706666666666667,,43.72666666666667,99.96333333333332,45.326666666666675,30.926666666666666,15.643333333333336,40.910000000000004,,
2025-05-15 05:00:00+00:00,0.7833333333333333,11.840000000000002,30.09,,42.74666666666667,99.96333333333332,45.326666666666675,30.05333333333333,14.643333333333336,41.276666666666664,,
2025-05-15 05:15:00+00:00,0.7799999999999999,11.92,30.320000000000004,,47.01666666666667,100.63,45.99333333333334,30.03333333333333,20.893333333333334,41.580000000000005,,
2025-05-15 05:30:00+00:00,0.7466666666666667,12.076666666666666,30.263333333333335,,48.34,94.67333333333333,45.13999999999999,28.326666666666668,21.213333333333335,41.85666666666666,,
2025-05-15 05:45:00+00:00,0.7633333333333333,12.11,30.413333333333338,,48.28333333333333,94.66666666666667,44.88999999999999,29.070000000000004,14.449999999999998,42.07666666666666,,
2025-05-15 06:00:00+00:00,0.7533333333333334,12.290000000000001,30.51,,48.903333333333336,94.66666666666667,44.88999999999999,28.41,14.813333333333334,42.47333333333333,,
2025-05-15 06:15:00+00:00,0.7333333333333334,12.31,30.633333333333336,,49.6,92.0,42.88999999999999,27.14,17.04,42.82333333333333,,
2025-05-15 06:30:00+00:00,0.7000000000000001,12.44,31.086666666666662,,47.96666666666666,101.66666666666667,40.39666666666667,26.099999999999998,17.575,43.123333333333335,,
2025-05-15 06:45:00+00:00,0.71,12.683333333333332,31.326666666666664,,45.333333333333336,101.46,39.85333333333333,26.366666666666664,17.925,43.54,,
2025-05-15 07:00:00+00:00,0.7033333333333333,12.686666666666667,30.939999999999998,,46.296666666666674,101.46,39.85333333333333,25.893333333333334,15.426666666666668,43.419999999999995,,
2025-05-15 07:15:00+00:00,0.61,18.35,40.64,,61.1,87.19,45.43,24.765,23.63,43.43,,
2025-05-15 07:30:00+00:00,0.6766666666666666,12.920000000000002,31.50333333333333,,46.413333333333334,92.04333333333334,38.623333333333335,25.47666666666667,28.22,43.70333333333334,,
2025-05-15 07:45:00+00:00,0.66,13.196666666666667,31.69666666666667,,44.02333333333333,91.8,38.07666666666667,24.663333333333338,22.459999999999997,43.85666666666666,,
2025-05-15 08:00:00+00:00,0.66,13.036666666666667,31.590000000000003,,43.35999999999999,91.8,38.07666666666667,24.363333333333333,19.393333333333334,44.22,,
2025-05-15 08:15:00+00:00,0.65,13.123333333333333,31.53333333333333,,39.156666666666666,89.8,36.74333333333333,24.013333333333332,21.03,44.35333333333333,,
2025-05-15 08:30:00+00:00,0.6433333333333333,12.979999999999999,31.62,,38.18,105.15333333333332,40.15,24.50333333333333,25.686666666666667,43.973333333333336,,
2025-05-15 08:45:00+00:00,0.63,13.253333333333332,31.903333333333332,,40.766666666666666,105.85666666666667,41.01333333333333,24.046666666666667,18.56,44.093333333333334,,
2025-05-15 09:00:00+00:00,0.62,13.200000000000001,31.77,,41.43333333333334,105.85666666666667,41.01333333333333,23.583333333333332,17.543333333333333,44.07333333333333,,
2025-05-15 09:15:00+00:00,0.62,13.31,31.92,,38.02333333333333,109.19,43.01333333333333,23.366666666666664,24.583333333333332,44.346666666666664,,
2025-05-15 09:30:00+00:00,0.61,13.476666666666668,32.15,,39.11666666666667,113.17666666666666,40.71666666666667,23.123333333333335,17.53333333333333,44.36666666666667,,
2025-05-15 09:45:00+00:00,0.61,13.013333333333334,31.543333333333333,,40.53,113.09333333333332,40.053333333333335,23.11,16.966666666666665,44.166666666666664,,
2025-05-15 10:00:00+00:00,0.61,12.823333333333332,31.27,,43.67666666666667,113.09333333333332,40.053333333333335,23.453333333333333,17.063333333333333,44.07333333333333,,
2025-05-15 10:15:00+00:00,0.61,12.683333333333332,30.986666666666668,,42.550000000000004,114.09333333333332,41.053333333333335,24.276666666666667,17.09,43.55666666666667,,
2025-05-15 10:30:00+00:00,0.62,12.793333333333331,31.176666666666666,,36.24333333333333,134.61666666666667,93.25,23.656666666666666,17.53333333333333,43.74,,
2025-05-15 10:45:00+00:00,0.6233333333333333,12.780000000000001,31.093333333333334,,34.089999999999996,134.61333333333332,110.14999999999999,24.703333333333333,19.02,43.48666666666666,,
2025-05-15 11:00:00+00:00,0.6333333333333333,12.563333333333333,30.776666666666667,,35.85666666666666,134.61333333333332,110.14999999999999,25.650000000000002,31.88666666666667,43.160000000000004,,
2025-05-15 11:15:00+00:00,0.6566666666666666,12.203333333333333,30.19666666666667,,36.14666666666667,134.28,109.81666666666666,27.366666666666664,34.76333333333333,42.42333333333333,,
2025-05-15 11:30:00+00:00,0.68,12.013333333333334,30.076666666666664,,35.17666666666667,133.54333333333332,60.23666666666666,28.826666666666668,25.313333333333333,41.82666666666667,,
2025-05-15 11:45:00+00:00,0.6933333333333334,11.85,29.8,,30.25,134.35999999999999,43.59,29.30333333333333,19.126666666666665,41.03,,
2025-05-15 12:00:00+00:00,0.7000000000000001,11.626666666666665,29.51,,29.070000000000004,134.35999999999999,43.59,30.316666666666666,19.166666666666668,40.32666666666666,,
2025-05-15 12:15:00+00:00,0.7166666666666667,11.37,29.396666666666665,,24.126666666666665,137.35999999999999,45.25666666666667,30.846666666666668,19.38,39.78333333333333,,
2025-05-15 12:30:00+00:00,0.68,11.246666666666668,28.856666666666666,,16.826666666666664,141.08,49.93,30.046666666666667,19.10666666666667,39.23333333333333,,
2025-05-15 12:45:00+00:00,0.71,11.076666666666666,28.743333333333336,,17.486666666666668,141.72666666666666,51.156666666666666,31.213333333333335,21.035,38.64666666666667,,
2025-05-15 13:00:00+00:00,0.7200000000000001,10.87,28.349999999999998,,17.71,141.72666666666666,51.156666666666666,31.61,17.376666666666665,38.03,,
2025-05-15 13:15:00+00:00,0.73,10.65,27.939999999999998,,19.473333333333333,145.72666666666666,53.82333333333333,32.39,36.016666666666666,37.419999999999995,,
2025-05-15 13:30:00+00:00,0.7333333333333334,10.496666666666666,28.066666666666666,,16.2,146.74,54.276666666666664,33.72666666666667,56.04,36.873333333333335,,
2025-05-15 13:45:00+00:00,0.77,10.353333333333333,28.01,,14.863333333333332,146.82666666666668,54.423333333333325,35.766666666666666,29.51,36.26333333333333,,
2025-05-15 14:00:00+00:00,0.7966666666666665,10.256666666666666,27.840000000000003,,14.769999999999998,146.82666666666668,54.423333333333325,37.71333333333333,28.953333333333333,35.67666666666667,,
2025-05-15 14:15:00+00:00,0.8099999999999999,10.206666666666667,27.586666666666662,,14.436666666666667,147.82666666666668,55.423333333333325,38.49666666666667,36.47,35.26666666666667,,
2025-05-15 14:30:00+00:00,0.8166666666666668,10.076666666666666,27.44666666666667,,13.03,151.01,58.14333333333334,39.4,21.323333333333334,34.97666666666667,,
2025-05-15 14:45:00+00:00,0.8333333333333334,10.13,27.606666666666666,,11.583333333333334,151.20333333333335,58.4,39.53333333333333,24.613333333333333,34.75666666666667,,
2025-05-15 15:00:00+00:00,0.85,10.076666666666666,27.626666666666665,,13.863333333333335,151.20333333333335,58.4,39.14333333333334,29.62,35.09666666666667,,
2025-05-15 15:15:00+00:00,0.8433333333333334,10.026666666666667,27.526666666666667,,14.966666666666667,150.87,58.06666666666666,37.306666666666665,28.38333333333333,35.473333333333336,,
2025-05-15 15:30:00+00:00,0.8366666666666666,10.186666666666666,27.55666666666667,,13.69,167.36333333333334,60.919999999999995,35.86000000000001,20.323333333333334,35.89333333333333,,
2025-05-15 15:45:00+00:00,0.835,14.175,34.65,,10.379999999999999,155.22,66.34,33.22,25.634999999999998,36.455,,
2025-05-15 16:00:00+00:00,0.8066666666666666,9.983333333333333,27.290000000000003,,12.219999999999999,168.22,61.29333333333333,34.843333333333334,23.166666666666668,35.77,,
2025-05-15 16:15:00+00:00,0.8033333333333333,9.846666666666666,27.180000000000003,,12.786666666666667,168.5533333333333,61.626666666666665,35.53666666666667,20.66333333333333,35.47,,
2025-05-15 16:30:00+00:00,0.8033333333333333,9.646666666666667,27.063333333333333,,13.033333333333333,125.23,57.21666666666667,35.96666666666667,17.976666666666663,35.25666666666667,,
